Farm,Type,Round,Date,Species,Number
Farm1,ELS,1,05/19/14,Andrena carantonica,1
Farm1,ELS,1,05/19/14,Andrena dorsata,1
Farm1,ELS,2,06/26/14,Andrena dorsata,1
Farm1,ELS,1,05/19/14,Andrena flavipes,2
Farm1,ELS,2,06/26/14,Andrena florea,2
Farm1,ELS,2,06/26/14,Andrena florea,1
Farm1,ELS,1,01/06/13,Andrena haemorrhoa,1
Farm1,ELS,3,11/08/13,Andrena minutula,1
Farm1,ELS,3,11/08/13,Andrena minutula,3
Farm1,ELS,2,06/26/14,Andrena minutula,1
Farm1,ELS,3,05/08/14,Andrena minutula,1
Farm1,ELS,2,02/07/13,Bombus hortorum,1
Farm1,ELS,2,02/07/13,Bombus hortorum,1
Farm1,ELS,2,02/07/13,Bombus hortorum,1
Farm1,ELS,3,11/08/13,Bombus hortorum,2
Farm1,ELS,1,05/19/14,Bombus hortorum,2
Farm1,ELS,2,06/26/14,Bombus hortorum,1
Farm1,ELS,2,06/26/14,Bombus hortorum,1
Farm1,ELS,2,06/26/14,Bombus hortorum,1
Farm1,ELS,2,06/26/14,Bombus hortorum,1
Farm1,ELS,2,02/07/13,Bombus hypnorum,1
Farm1,ELS,3,11/08/13,Bombus hypnorum,4
Farm1,ELS,3,11/08/13,Bombus hypnorum,1
Farm1,ELS,2,02/07/13,Bombus lapidarius,1
Farm1,ELS,2,02/07/13,Bombus lapidarius,1
Farm1,ELS,2,02/07/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,5
Farm1,ELS,3,11/08/13,Bombus lapidarius,2
Farm1,ELS,3,11/08/13,Bombus lapidarius,37
Farm1,ELS,3,11/08/13,Bombus lapidarius,44
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,3,11/08/13,Bombus lapidarius,1
Farm1,ELS,1,01/06/13,Bombus lapidarius,1
Farm1,ELS,1,01/06/13,Bombus lapidarius,1
Farm1,ELS,2,06/26/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,2
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,22
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,3,05/08/14,Bombus lapidarius,1
Farm1,ELS,2,02/07/13,Bombus lucorum,1
Farm1,ELS,1,01/06/13,Bombus pascuorum,1
Farm1,ELS,1,01/06/13,Bombus pascuorum,1
