Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,358,30070
Farm1,ELS,2013,2,307,30962
Farm1,ELS,2013,3,16,88512
Farm1,ELS,2014,1,10,97733
Farm1,ELS,2014,2,420,29120
Farm1,ELS,2014,3,427,14584
Farm10,HLS,2013,1,462,58730
Farm10,HLS,2013,2,500,21061
Farm10,HLS,2013,3,378,12220
Farm10,HLS,2014,1,365,89111
Farm10,HLS,2014,2,137,93071
Farm10,HLS,2014,3,461,74220
Farm11,ELS,2013,1,236,21194
Farm11,ELS,2013,2,231,93579
Farm11,ELS,2013,3,248,9077
Farm11,ELS,2014,1,322,22728
Farm11,ELS,2014,2,111,71209
Farm11,ELS,2014,3,132,70145
Farm12,ELS,2013,1,17,95617
Farm12,ELS,2013,2,369,84012
Farm12,ELS,2013,3,160,30409
Farm12,ELS,2014,1,353,47805
Farm12,ELS,2014,2,188,7786
Farm12,ELS,2014,3,342,49213
Farm13,HLS,2013,1,417,26641
Farm13,HLS,2013,2,417,83294
Farm13,HLS,2013,3,109,63077
Farm13,HLS,2014,1,414,12236
Farm13,HLS,2014,2,404,81546
Farm13,HLS,2014,3,475,33301
Farm14,ELS,2013,1,1,15788
Farm14,ELS,2013,2,249,9033
Farm14,ELS,2013,3,137,84370
Farm14,ELS,2014,1,115,8726
Farm14,ELS,2014,2,240,61067
Farm14,ELS,2014,3,340,19193
Farm15,HLS,2013,1,172,68288
Farm15,HLS,2013,2,96,5688
Farm15,HLS,2013,3,125,46019
Farm15,HLS,2014,1,278,99640
Farm15,HLS,2014,2,461,62459
Farm15,HLS,2014,3,301,50101
Farm16,HLS,2013,1,445,30667
Farm16,HLS,2013,2,20,80533
Farm16,HLS,2013,3,328,51063
Farm16,HLS,2014,1,14,82198
Farm16,HLS,2014,2,103,69492
Farm16,HLS,2014,3,87,62814
Farm17,ELS,2013,1,234,10966
Farm17,ELS,2013,2,65,87469
Farm17,ELS,2013,3,144,14204
Farm17,ELS,2014,1,322,65807
Farm17,ELS,2014,2,56,37298
Farm17,ELS,2014,3,439,59026
Farm18,HLS,2013,1,184,20832
Farm18,HLS,2013,2,478,88600
Farm18,HLS,2013,3,135,62153
Farm18,HLS,2014,1,328,82646
Farm18,HLS,2014,2,303,40511
Farm18,HLS,2014,3,380,91142
Farm19,ELS,2013,1,258,70900
Farm19,ELS,2013,2,435,95114
Farm19,ELS,2013,3,212,64189
Farm19,ELS,2014,1,43,77290
Farm19,ELS,2014,2,35,60919
Farm19,ELS,2014,3,379,99346
Farm2,HLS,2013,1,438,9045
Farm2,HLS,2013,2,413,30629
Farm2,HLS,2013,3,58,11490
Farm2,HLS,2014,1,233,59827
Farm2,HLS,2014,2,433,15823
Farm2,HLS,2014,3,126,15524
Farm4,HLS,2013,1,226,29167
Farm4,HLS,2013,2,488,87147
Farm4,HLS,2013,3,275,48979
Farm4,HLS,2014,1,364,54225
Farm4,HLS,2014,2,397,61260
Farm4,HLS,2014,3,54,49661
Farm5,ELS,2013,1,489,41709
Farm5,ELS,2013,2,464,33574
Farm5,ELS,2013,3,110,28605
Farm5,ELS,2014,1,330,32579
Farm5,ELS,2014,2,488,16544
Farm5,ELS,2014,3,212,7751
Farm6,ELS,2013,1,321,26129
Farm6,ELS,2013,2,100,13849
Farm6,ELS,2013,3,223,45156
Farm6,ELS,2014,1,199,37663
Farm6,ELS,2014,2,113,94679
Farm6,ELS,2014,3,223,43301
Farm7,ELS,2013,1,452,23087
Farm7,ELS,2013,2,174,54117
Farm7,ELS,2013,3,400,96839
Farm7,ELS,2014,1,37,35074
Farm7,ELS,2014,2,412,61682
Farm7,ELS,2014,3,8,26032
Farm8,HLS,2013,1,128,99161
Farm8,HLS,2013,2,440,15960
Farm8,HLS,2013,3,449,72177
Farm8,HLS,2014,1,296,6864
Farm8,HLS,2014,2,91,38341
Farm8,HLS,2014,3,247,43555
Farm9,HLS,2013,1,482,20147
Farm9,HLS,2013,2,198,87579
Farm9,HLS,2013,3,237,24336
Farm9,HLS,2014,1,383,84136
Farm9,HLS,2014,2,289,70643
Farm9,HLS,2014,3,490,31161
Farm20,ELS,2013,1,187,14285
Farm20,ELS,2013,2,29,33905
Farm20,ELS,2013,3,305,72869
Farm20,ELS,2014,1,42,44079
Farm20,ELS,2014,2,100,14279
Farm20,ELS,2014,3,369,58220
Farm21,ELS,2013,1,358,46646
Farm21,ELS,2013,2,40,46073
Farm21,ELS,2013,3,285,29031
Farm21,ELS,2014,1,391,29953
Farm21,ELS,2014,2,450,98248
Farm21,ELS,2014,3,297,19226
Farm22,HLS,2013,1,186,44794
Farm22,HLS,2013,2,485,31134
Farm22,HLS,2013,3,481,92009
Farm22,HLS,2014,1,146,17678
Farm22,HLS,2014,2,277,79527
Farm22,HLS,2014,3,215,79787
Farm23,ELS,2013,1,468,55153
Farm23,ELS,2013,2,375,10943
Farm23,ELS,2013,3,264,90483
Farm23,ELS,2014,1,348,33067
Farm23,ELS,2014,2,321,60405
Farm23,ELS,2014,3,74,5917
Farm24,ELS,2013,1,184,30511
Farm24,ELS,2013,2,383,22170
Farm24,ELS,2013,3,204,36426
Farm24,ELS,2014,1,420,38366
Farm24,ELS,2014,2,27,62915
Farm24,ELS,2014,3,98,58498
Farm25,ELS,2013,1,262,22011
Farm25,ELS,2013,2,488,81464
Farm25,ELS,2013,3,445,83965
Farm25,ELS,2014,1,476,13671
