Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,6,21803
Farm1,ELS,2013,2,26,6839
Farm1,ELS,2013,3,146,23420
Farm1,ELS,2014,1,9,8644
Farm1,ELS,2014,2,26,15135
Farm1,ELS,2014,3,54,10039
Farm10,HLS,2013,1,17,9914
Farm10,HLS,2013,2,143,138977
Farm10,HLS,2013,3,409,160107
Farm10,HLS,2014,1,15,22175
Farm10,HLS,2014,2,117,337505
Farm10,HLS,2014,3,182,270212
Farm11,ELS,2013,1,18,8766
Farm11,ELS,2013,2,36,70078
Farm11,ELS,2013,3,821,112747
Farm11,ELS,2014,1,16,30180
Farm11,ELS,2014,2,42,57466
Farm11,ELS,2014,3,319,78315
Farm12,ELS,2013,1,41,22633
Farm12,ELS,2013,2,51,27441
Farm12,ELS,2013,3,28,13458
Farm12,ELS,2014,1,46,15633
Farm12,ELS,2014,2,40,16116
Farm12,ELS,2014,3,30,14882
Farm13,HLS,2013,1,10,9825
Farm13,HLS,2013,2,135,113508
Farm13,HLS,2013,3,1498,520280
Farm13,HLS,2014,1,45,146186
Farm13,HLS,2014,2,280,726098
Farm13,HLS,2014,3,391,343858
Farm14,ELS,2014,1,25,88233
Farm14,ELS,2014,2,109,189115
Farm14,ELS,2014,3,158,139805
Farm15,HLS,2013,1,4,33277
Farm15,HLS,2013,2,42,40291
Farm15,HLS,2013,3,93,27438
Farm15,HLS,2014,1,13,38450
Farm15,HLS,2014,2,72,203773
Farm15,HLS,2014,3,62,27121
Farm16,HLS,2013,1,20,8010
Farm16,HLS,2013,2,49,65151
Farm16,HLS,2013,3,190,64828
Farm17,ELS,2013,1,3,2511
Farm17,ELS,2013,2,30,13502
Farm17,ELS,2013,3,77,29592
Farm17,ELS,2014,1,3,5505
Farm17,ELS,2014,2,55,24245
Farm17,ELS,2014,3,19,7157
Farm18,HLS,2014,1,45,113864
Farm18,HLS,2014,2,136,429103
Farm18,HLS,2014,3,196,302028
Farm19,ELS,2013,1,6,11084
Farm19,ELS,2013,2,50,20424
Farm19,ELS,2013,3,89,6827
Farm19,ELS,2014,1,26,41081
Farm19,ELS,2014,2,17,39392
Farm19,ELS,2014,3,18,7627
Farm2,HLS,2013,1,5,13582
Farm2,HLS,2013,2,166,259247
Farm2,HLS,2013,3,53,27360
Farm2,HLS,2014,1,10,25603
Farm2,HLS,2014,2,258,394572
Farm2,HLS,2014,3,70,86398
Farm4,HLS,2013,1,9,17466
Farm4,HLS,2013,2,114,27420
Farm4,HLS,2013,3,226,406146
Farm4,HLS,2014,1,32,112229
Farm4,HLS,2014,2,87,472085
Farm4,HLS,2014,3,188,296353
Farm5,ELS,2013,1,12,11479
Farm5,ELS,2013,2,45,34569
Farm5,ELS,2013,3,98,23016
Farm5,ELS,2014,1,7,20784
Farm5,ELS,2014,2,25,30619
Farm5,ELS,2014,3,62,11839
Farm6,ELS,2013,1,30,17136
Farm6,ELS,2013,2,102,69069
Farm6,ELS,2013,3,337,23597
Farm6,ELS,2014,1,88,39097
Farm6,ELS,2014,2,140,61999
Farm6,ELS,2014,3,88,9018
Farm7,ELS,2013,1,4,5107
Farm7,ELS,2013,2,24,37820
Farm7,ELS,2013,3,113,21073
Farm7,ELS,2014,1,1,18928
Farm7,ELS,2014,2,14,18522
Farm7,ELS,2014,3,35,24640
Farm8,HLS,2013,1,44,14584
Farm8,HLS,2013,2,385,523980
Farm8,HLS,2013,3,112,92036
Farm8,HLS,2014,1,9,24419
Farm8,HLS,2014,2,68,192329
Farm8,HLS,2014,3,182,176620
Farm9,HLS,2013,1,7,6510
Farm9,HLS,2013,2,91,88697
Farm9,HLS,2013,3,203,155876
Farm9,HLS,2014,1,16,13563
Farm9,HLS,2014,2,55,336850
Farm9,HLS,2014,3,66,112217
