Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,315,35314
Farm1,ELS,2013,2,410,43170
Farm1,ELS,2013,3,58,86091
Farm1,ELS,2014,1,134,98578
Farm1,ELS,2014,2,34,34851
Farm1,ELS,2014,3,490,26760
Farm10,HLS,2013,1,460,36580
Farm10,HLS,2013,2,441,24205
Farm10,HLS,2013,3,302,44634
Farm10,HLS,2014,1,274,40966
Farm10,HLS,2014,2,148,54651
Farm10,HLS,2014,3,263,28153
Farm11,ELS,2013,1,249,12008
Farm11,ELS,2013,2,30,94799
Farm11,ELS,2013,3,205,84764
Farm11,ELS,2014,1,461,69071
Farm11,ELS,2014,2,486,46563
Farm11,ELS,2014,3,56,22630
Farm12,ELS,2013,1,279,38962
Farm12,ELS,2013,2,377,92771
Farm12,ELS,2013,3,306,22934
Farm12,ELS,2014,1,73,48731
Farm12,ELS,2014,2,294,16857
Farm12,ELS,2014,3,32,11091
Farm13,HLS,2013,1,281,72222
Farm13,HLS,2013,2,131,11591
Farm13,HLS,2013,3,207,30883
Farm13,HLS,2014,1,484,43499
Farm13,HLS,2014,2,150,69419
Farm13,HLS,2014,3,145,55893
Farm14,ELS,2013,1,165,89817
Farm14,ELS,2013,2,329,55651
Farm14,ELS,2013,3,117,56986
Farm14,ELS,2014,1,351,95541
Farm14,ELS,2014,2,212,63641
Farm14,ELS,2014,3,74,42210
Farm15,HLS,2013,1,381,69868
Farm15,HLS,2013,2,138,82337
Farm15,HLS,2013,3,363,62307
Farm15,HLS,2014,1,462,91318
Farm15,HLS,2014,2,307,80484
Farm15,HLS,2014,3,105,71914
Farm16,HLS,2013,1,109,25492
Farm16,HLS,2013,2,452,99223
Farm16,HLS,2013,3,496,19260
Farm16,HLS,2014,1,121,63313
Farm16,HLS,2014,2,438,71126
Farm16,HLS,2014,3,127,83397
Farm17,ELS,2013,1,41,38562
Farm17,ELS,2013,2,369,47829
Farm17,ELS,2013,3,289,30291
Farm17,ELS,2014,1,276,68468
Farm17,ELS,2014,2,234,83562
Farm17,ELS,2014,3,347,86920
Farm18,HLS,2013,1,171,57956
Farm18,HLS,2013,2,267,39641
Farm18,HLS,2013,3,354,15517
Farm18,HLS,2014,1,97,18606
Farm18,HLS,2014,2,339,42499
Farm18,HLS,2014,3,134,52468
Farm19,ELS,2013,1,355,55145
Farm19,ELS,2013,2,138,69510
Farm19,ELS,2013,3,201,87156
Farm19,ELS,2014,1,406,39751
Farm19,ELS,2014,2,401,54010
Farm19,ELS,2014,3,438,35248
Farm2,HLS,2013,1,432,28351
Farm2,HLS,2013,2,25,56506
Farm2,HLS,2013,3,255,46459
Farm2,HLS,2014,1,9,14901
Farm2,HLS,2014,2,141,39117
Farm2,HLS,2014,3,479,72828
Farm4,HLS,2013,1,463,5881
Farm4,HLS,2013,2,285,82888
Farm4,HLS,2013,3,482,75860
Farm4,HLS,2014,1,15,91955
Farm4,HLS,2014,2,444,7376
Farm4,HLS,2014,3,135,16578
Farm5,ELS,2013,1,238,71147
Farm5,ELS,2013,2,248,32673
Farm5,ELS,2013,3,355,52579
Farm5,ELS,2014,1,172,12145
Farm5,ELS,2014,2,399,31105
Farm5,ELS,2014,3,229,20850
Farm6,ELS,2013,1,385,5485
Farm6,ELS,2013,2,24,62891
Farm6,ELS,2013,3,382,13703
Farm6,ELS,2014,1,384,22394
Farm6,ELS,2014,2,500,50084
Farm6,ELS,2014,3,155,11557
Farm7,ELS,2013,1,12,70083
Farm7,ELS,2013,2,455,22979
Farm7,ELS,2013,3,453,75102
Farm7,ELS,2014,1,59,10949
Farm7,ELS,2014,2,61,70348
Farm7,ELS,2014,3,78,43891
Farm8,HLS,2013,1,69,75237
Farm8,HLS,2013,2,114,47461
Farm8,HLS,2013,3,212,71399
Farm8,HLS,2014,1,199,93535
Farm8,HLS,2014,2,106,46460
Farm8,HLS,2014,3,48,42635
